Nodes,Total Clients,Lost Clients,Lost Client Ratio (%),Lost Flow Ratio (%)
2,1,0,0.00,0.00
3,2,0,0.00,0.00
4,3,1,33.33,20.00
5,4,0,0.00,0.00
6,5,0,0.00,0.00
7,6,2,33.33,20.00
8,7,2,28.57,16.67
9,8,2,25.00,14.29
10,9,3,33.33,20.00
11,10,4,40.00,25.00
12,11,7,63.64,46.67
13,12,5,41.67,26.32
14,13,4,30.77,18.18
15,14,5,35.71,21.74
16,15,7,46.67,30.43
17,16,11,68.75,52.38
18,17,8,47.06,30.77
19,18,13,72.22,56.52
20,19,5,26.32,15.15
21,20,7,35.00,21.21
22,21,13,61.90,44.83
23,22,11,50.00,33.33
24,23,15,65.22,48.39
25,24,11,45.83,29.73
26,25,9,36.00,21.95
27,26,16,61.54,44.44
28,27,20,74.07,58.82
29,28,16,57.14,40.00
30,29,21,72.41,56.76
